id,approval_number,quotation_id,requested_by,assigned_to,approval_type,reason,risk_score,status,requested_at,resolved_at,decision_comment,created_at,updated_at
1,APP-1042,1,1,3,DISCOUNT,Onsite Setup Service discount 18% exceeds category ceiling of 10%,68.0,PENDING,2026-01-17 09:00:00,,,2026-01-17 09:00:00,2026-01-17 09:00:00
2,APP-1002,2,2,3,DISCOUNT,Approval required for discount on Quote Q-1002.,72.0,APPROVED,2025-11-03 09:00:00,2025-11-03 17:00:00,Approved within acceptable risk tolerance.,2025-11-03 09:00:00,2025-11-03 09:00:00
3,APP-1003,3,1,5,MARGIN_RISK,Approval required for margin risk on Quote Q-1003.,46.0,PENDING,2025-11-06 09:00:00,,,2025-11-06 09:00:00,2025-11-06 09:00:00
4,APP-1004,4,2,3,DEAL_RISK,Approval required for deal risk on Quote Q-1004.,65.0,REJECTED,2025-11-09 09:00:00,2025-11-09 17:00:00,Discount rejected due to excessive margin compression.,2025-11-09 09:00:00,2025-11-09 09:00:00
5,APP-1005,5,1,3,NEGOTIATION_CHANGE,Approval required for negotiation change on Quote Q-1005.,75.0,CANCELLED,2025-11-12 09:00:00,,,2025-11-12 09:00:00,2025-11-12 09:00:00
6,APP-1006,6,2,5,DISCOUNT,Approval required for discount on Quote Q-1006.,58.0,APPROVED,2025-11-15 09:00:00,2025-11-15 17:00:00,Approved within acceptable risk tolerance.,2025-11-15 09:00:00,2025-11-15 09:00:00
7,APP-1007,7,1,3,MARGIN_RISK,Approval required for margin risk on Quote Q-1007.,68.0,PENDING,2025-11-18 09:00:00,,,2025-11-18 09:00:00,2025-11-18 09:00:00
8,APP-1008,8,2,3,DEAL_RISK,Approval required for deal risk on Quote Q-1008.,80.0,REJECTED,2025-11-21 09:00:00,2025-11-21 17:00:00,Discount rejected due to excessive margin compression.,2025-11-21 09:00:00,2025-11-21 09:00:00
9,APP-1009,9,1,5,NEGOTIATION_CHANGE,Approval required for negotiation change on Quote Q-1009.,59.0,CANCELLED,2025-11-24 09:00:00,,,2025-11-24 09:00:00,2025-11-24 09:00:00
10,APP-1010,10,2,3,DISCOUNT,Approval required for discount on Quote Q-1010.,78.0,APPROVED,2025-11-27 09:00:00,2025-11-27 17:00:00,Approved within acceptable risk tolerance.,2025-11-27 09:00:00,2025-11-27 09:00:00
11,APP-1011,11,1,3,MARGIN_RISK,Approval required for margin risk on Quote Q-1011.,67.0,PENDING,2025-11-30 09:00:00,,,2025-11-30 09:00:00,2025-11-30 09:00:00
12,APP-1012,12,2,5,DEAL_RISK,Approval required for deal risk on Quote Q-1012.,55.0,REJECTED,2025-12-03 09:00:00,2025-12-03 17:00:00,Discount rejected due to excessive margin compression.,2025-12-03 09:00:00,2025-12-03 09:00:00
13,APP-1013,13,1,3,NEGOTIATION_CHANGE,Approval required for negotiation change on Quote Q-1013.,67.0,CANCELLED,2025-12-06 09:00:00,,,2025-12-06 09:00:00,2025-12-06 09:00:00
14,APP-1014,14,2,3,DISCOUNT,Approval required for discount on Quote Q-1014.,55.0,APPROVED,2025-12-09 09:00:00,2025-12-09 17:00:00,Approved within acceptable risk tolerance.,2025-12-09 09:00:00,2025-12-09 09:00:00
15,APP-1015,15,1,5,MARGIN_RISK,Approval required for margin risk on Quote Q-1015.,51.0,PENDING,2025-12-12 09:00:00,,,2025-12-12 09:00:00,2025-12-12 09:00:00
16,APP-1016,16,2,3,DEAL_RISK,Approval required for deal risk on Quote Q-1016.,74.0,REJECTED,2025-12-15 09:00:00,2025-12-15 17:00:00,Discount rejected due to excessive margin compression.,2025-12-15 09:00:00,2025-12-15 09:00:00
17,APP-1017,17,1,3,NEGOTIATION_CHANGE,Approval required for negotiation change on Quote Q-1017.,51.0,CANCELLED,2025-12-18 09:00:00,,,2025-12-18 09:00:00,2025-12-18 09:00:00
18,APP-1018,18,2,5,DISCOUNT,Approval required for discount on Quote Q-1018.,70.0,APPROVED,2025-12-21 09:00:00,2025-12-21 17:00:00,Approved within acceptable risk tolerance.,2025-12-21 09:00:00,2025-12-21 09:00:00
19,APP-1019,19,1,3,MARGIN_RISK,Approval required for margin risk on Quote Q-1019.,79.0,PENDING,2025-12-24 09:00:00,,,2025-12-24 09:00:00,2025-12-24 09:00:00
20,APP-1020,20,2,3,DEAL_RISK,Approval required for deal risk on Quote Q-1020.,52.0,REJECTED,2025-12-27 09:00:00,2025-12-27 17:00:00,Discount rejected due to excessive margin compression.,2025-12-27 09:00:00,2025-12-27 09:00:00
21,APP-1021,21,1,5,NEGOTIATION_CHANGE,Approval required for negotiation change on Quote Q-1021.,68.0,CANCELLED,2025-12-30 09:00:00,,,2025-12-30 09:00:00,2025-12-30 09:00:00
22,APP-1022,22,2,3,DISCOUNT,Approval required for discount on Quote Q-1022.,53.0,APPROVED,2026-01-02 09:00:00,2026-01-02 17:00:00,Approved within acceptable risk tolerance.,2026-01-02 09:00:00,2026-01-02 09:00:00
23,APP-1023,23,1,3,MARGIN_RISK,Approval required for margin risk on Quote Q-1023.,72.0,PENDING,2026-01-05 09:00:00,,,2026-01-05 09:00:00,2026-01-05 09:00:00
24,APP-1024,24,2,5,DEAL_RISK,Approval required for deal risk on Quote Q-1024.,55.0,REJECTED,2026-01-08 09:00:00,2026-01-08 17:00:00,Discount rejected due to excessive margin compression.,2026-01-08 09:00:00,2026-01-08 09:00:00
25,APP-1025,25,1,3,NEGOTIATION_CHANGE,Approval required for negotiation change on Quote Q-1025.,54.0,CANCELLED,2026-01-11 09:00:00,,,2026-01-11 09:00:00,2026-01-11 09:00:00
