id,fulfillment_order_id,quotation_line_id,product_id,warehouse_id,ordered_quantity,allocated_quantity,fulfilled_quantity,backordered_quantity,status,unit_price,unit_cost,created_at,updated_at
1,1,3,3,1,5,5,5,0,FULFILLED,2100.0,1350.0,2025-09-11 09:00:00,2025-09-11 09:00:00
2,1,4,4,2,5,5,5,0,FULFILLED,220.0,150.0,2025-09-11 09:00:00,2025-09-11 09:00:00
3,2,4,4,1,5,5,5,0,FULFILLED,220.0,150.0,2025-09-14 09:00:00,2025-09-14 09:00:00
4,2,5,5,2,5,5,5,0,FULFILLED,380.0,240.0,2025-09-14 09:00:00,2025-09-14 09:00:00
5,3,5,5,1,10,7,7,3,PARTIALLY_FULFILLED,380.0,240.0,2025-09-17 09:00:00,2025-09-17 09:00:00
6,3,6,6,2,10,7,7,3,PARTIALLY_FULFILLED,650.0,400.0,2025-09-17 09:00:00,2025-09-17 09:00:00
7,4,6,6,1,5,5,5,0,FULFILLED,650.0,400.0,2025-09-20 09:00:00,2025-09-20 09:00:00
8,4,7,7,2,5,5,5,0,FULFILLED,120.0,40.0,2025-09-20 09:00:00,2025-09-20 09:00:00
9,5,7,7,1,10,7,7,3,PARTIALLY_FULFILLED,120.0,40.0,2025-09-23 09:00:00,2025-09-23 09:00:00
10,5,8,8,2,10,7,7,3,PARTIALLY_FULFILLED,250.0,75.0,2025-09-23 09:00:00,2025-09-23 09:00:00
11,6,8,8,1,5,5,5,0,FULFILLED,250.0,75.0,2025-09-26 09:00:00,2025-09-26 09:00:00
12,6,9,9,2,5,5,5,0,FULFILLED,450.0,120.0,2025-09-26 09:00:00,2025-09-26 09:00:00
13,7,9,9,1,5,5,5,0,FULFILLED,450.0,120.0,2025-09-29 09:00:00,2025-09-29 09:00:00
14,7,10,10,2,5,5,5,0,FULFILLED,500.0,340.0,2025-09-29 09:00:00,2025-09-29 09:00:00
15,8,10,10,1,10,7,7,3,PARTIALLY_FULFILLED,500.0,340.0,2025-10-02 09:00:00,2025-10-02 09:00:00
16,8,11,11,1,10,7,7,3,PARTIALLY_FULFILLED,850.0,530.0,2025-10-02 09:00:00,2025-10-02 09:00:00
17,9,11,11,1,5,5,0,5,ALLOCATED,850.0,530.0,2025-10-05 09:00:00,2025-10-05 09:00:00
18,9,12,12,1,5,5,0,5,ALLOCATED,1400.0,820.0,2025-10-05 09:00:00,2025-10-05 09:00:00
19,10,12,12,1,5,5,0,5,ALLOCATED,1400.0,820.0,2025-10-08 09:00:00,2025-10-08 09:00:00
20,10,13,13,1,5,5,0,5,ALLOCATED,45.0,18.0,2025-10-08 09:00:00,2025-10-08 09:00:00
21,11,13,13,1,5,5,0,5,ALLOCATED,45.0,18.0,2025-10-11 09:00:00,2025-10-11 09:00:00
22,11,14,14,1,5,5,0,5,ALLOCATED,95.0,45.0,2025-10-11 09:00:00,2025-10-11 09:00:00
23,12,14,14,1,10,7,7,3,PARTIALLY_FULFILLED,95.0,45.0,2025-10-14 09:00:00,2025-10-14 09:00:00
24,12,15,15,1,10,7,7,3,PARTIALLY_FULFILLED,180.0,95.0,2025-10-14 09:00:00,2025-10-14 09:00:00
25,13,15,15,1,5,5,5,0,FULFILLED,180.0,95.0,2025-10-17 09:00:00,2025-10-17 09:00:00
26,13,16,16,1,5,5,5,0,FULFILLED,65.0,25.0,2025-10-17 09:00:00,2025-10-17 09:00:00
27,14,16,16,1,5,5,5,0,FULFILLED,65.0,25.0,2025-10-20 09:00:00,2025-10-20 09:00:00
28,14,17,17,1,5,5,5,0,FULFILLED,110.0,55.0,2025-10-20 09:00:00,2025-10-20 09:00:00
29,15,17,17,1,5,5,0,5,ALLOCATED,110.0,55.0,2025-10-23 09:00:00,2025-10-23 09:00:00
