id,user_id,entity_type,entity_id,action,old_value,new_value,ip_address,timestamp,created_at,updated_at
1,1,quotation,1,CREATE,,Quotation Q-1042 initialized for Acme Corp,10.0.0.11,2025-12-28 09:00:00,2025-12-28 09:00:00,2025-12-28 09:00:00
2,2,quotation,1,ADD_PRODUCT,,"Added 2x Laptop Pro 14 @ $1,200 (12% discount)",10.0.0.12,2025-12-29 09:00:00,2025-12-29 09:00:00,2025-12-29 09:00:00
3,3,quotation,1,ADD_PRODUCT,,Added 1x Onsite Setup Service @ $450 (18% discount),10.0.0.13,2025-12-30 09:00:00,2025-12-30 09:00:00,2025-12-30 09:00:00
4,4,quotation,1,ADD_PRODUCT,,Added 1x Extended Warranty @ $180 (10% discount),10.0.0.14,2025-12-31 09:00:00,2025-12-31 09:00:00,2025-12-31 09:00:00
5,5,quotation,1,SUBMIT,DRAFT,PENDING_APPROVAL,10.0.0.15,2026-01-01 09:00:00,2026-01-01 09:00:00,2026-01-01 09:00:00
6,6,approval,1,CREATE,,Approval APP-1042 triggered for discount threshold violation,10.0.0.16,2026-01-02 09:00:00,2026-01-02 09:00:00,2026-01-02 09:00:00
7,7,user,1,LOGIN,,User Aarav Sharma logged into Sales Workspace,10.0.0.17,2026-01-03 09:00:00,2026-01-03 09:00:00,2026-01-03 09:00:00
8,8,user,3,LOGIN,,User Rohan Kapoor logged into Manager Workspace,10.0.0.18,2026-01-04 09:00:00,2026-01-04 09:00:00,2026-01-04 09:00:00
9,1,user,5,LOGIN,,User Vikram Malhotra logged into Finance Workspace,10.0.0.19,2026-01-05 09:00:00,2026-01-05 09:00:00,2026-01-05 09:00:00
10,2,user,6,LOGIN,,User Kavita Rao logged into Customer Portal,10.0.0.20,2026-01-06 09:00:00,2026-01-06 09:00:00,2026-01-06 09:00:00
11,3,payment,12,PAYMENT,Status: PENDING,Status: COMPLETED,10.0.0.21,2026-01-07 09:00:00,2026-01-07 09:00:00,2026-01-07 09:00:00
12,4,quotation,13,UPDATE,Status: PENDING,Status: COMPLETED,10.0.0.22,2026-01-08 09:00:00,2026-01-08 09:00:00,2026-01-08 09:00:00
13,5,payment,14,PAYMENT,Status: PENDING,Status: COMPLETED,10.0.0.23,2026-01-09 09:00:00,2026-01-09 09:00:00,2026-01-09 09:00:00
14,6,quotation,15,UPDATE,Status: PENDING,Status: COMPLETED,10.0.0.24,2026-01-10 09:00:00,2026-01-10 09:00:00,2026-01-10 09:00:00
