id,historical_order_id,product_id,quantity,unit_price,discount_percent,discount_amount,unit_cost,line_revenue,line_cost,line_margin,line_margin_percent,created_at,updated_at
1,1,1,2,1200.0,0.0,0.0,840.0,2400.0,1680.0,720.0,30.0,2025-01-07 09:00:00,2025-01-07 09:00:00
2,1,13,1,45.0,0.0,0.0,18.0,45.0,18.0,27.0,60.0,2025-01-07 09:00:00,2025-01-07 09:00:00
3,1,15,1,180.0,0.0,0.0,95.0,180.0,95.0,85.0,47.22,2025-01-07 09:00:00,2025-01-07 09:00:00
4,1,22,1,180.0,0.0,0.0,60.0,180.0,60.0,120.0,66.67,2025-01-07 09:00:00,2025-01-07 09:00:00
5,2,1,1,1200.0,0.0,0.0,840.0,1200.0,840.0,360.0,30.0,2025-01-13 09:00:00,2025-01-13 09:00:00
6,2,13,1,45.0,0.0,0.0,18.0,45.0,18.0,27.0,60.0,2025-01-13 09:00:00,2025-01-13 09:00:00
7,2,8,1,250.0,0.0,0.0,75.0,250.0,75.0,175.0,70.0,2025-01-13 09:00:00,2025-01-13 09:00:00
8,3,1,1,1200.0,0.0,0.0,840.0,1200.0,840.0,360.0,30.0,2025-01-19 09:00:00,2025-01-19 09:00:00
9,3,13,1,45.0,0.0,0.0,18.0,45.0,18.0,27.0,60.0,2025-01-19 09:00:00,2025-01-19 09:00:00
10,3,15,1,180.0,0.0,0.0,95.0,180.0,95.0,85.0,47.22,2025-01-19 09:00:00,2025-01-19 09:00:00
11,4,1,1,1200.0,0.0,0.0,840.0,1200.0,840.0,360.0,30.0,2025-01-25 09:00:00,2025-01-25 09:00:00
12,4,15,1,180.0,0.0,0.0,95.0,180.0,95.0,85.0,47.22,2025-01-25 09:00:00,2025-01-25 09:00:00
13,4,22,1,180.0,0.0,0.0,60.0,180.0,60.0,120.0,66.67,2025-01-25 09:00:00,2025-01-25 09:00:00
14,5,1,1,1200.0,0.0,0.0,840.0,1200.0,840.0,360.0,30.0,2025-01-31 09:00:00,2025-01-31 09:00:00
15,5,13,1,45.0,0.0,0.0,18.0,45.0,18.0,27.0,60.0,2025-01-31 09:00:00,2025-01-31 09:00:00
16,6,1,1,1200.0,0.0,0.0,840.0,1200.0,840.0,360.0,30.0,2025-02-06 09:00:00,2025-02-06 09:00:00
17,6,13,1,45.0,0.0,0.0,18.0,45.0,18.0,27.0,60.0,2025-02-06 09:00:00,2025-02-06 09:00:00
18,7,1,1,1200.0,0.0,0.0,840.0,1200.0,840.0,360.0,30.0,2025-02-12 09:00:00,2025-02-12 09:00:00
19,7,15,1,180.0,0.0,0.0,95.0,180.0,95.0,85.0,47.22,2025-02-12 09:00:00,2025-02-12 09:00:00
20,7,8,1,250.0,0.0,0.0,75.0,250.0,75.0,175.0,70.0,2025-02-12 09:00:00,2025-02-12 09:00:00
21,8,1,1,1200.0,0.0,0.0,840.0,1200.0,840.0,360.0,30.0,2025-02-18 09:00:00,2025-02-18 09:00:00
22,8,13,1,45.0,0.0,0.0,18.0,45.0,18.0,27.0,60.0,2025-02-18 09:00:00,2025-02-18 09:00:00
23,8,15,1,180.0,0.0,0.0,95.0,180.0,95.0,85.0,47.22,2025-02-18 09:00:00,2025-02-18 09:00:00
