id,fulfillment_number,quotation_id,customer_id,status,warehouse_strategy,shipping_address,requested_date,promised_date,shipped_date,delivered_date,tracking_number,created_at,updated_at
1,FO-0001,1,1,SHIPPED,MULTI_WAREHOUSE,"Distribution Hub 1, Industrial Park, City",2025-09-11 09:00:00,2025-09-18 09:00:00,2025-09-13 09:00:00,,TRK-0001-IND,2025-09-11 09:00:00,2025-09-11 09:00:00
2,FO-0002,2,2,SHIPPED,MULTI_WAREHOUSE,"Distribution Hub 2, Industrial Park, City",2025-09-14 09:00:00,2025-09-21 09:00:00,2025-09-16 09:00:00,,TRK-0002-IND,2025-09-14 09:00:00,2025-09-14 09:00:00
3,FO-0003,3,3,PARTIALLY_FULFILLED,MULTI_WAREHOUSE,"Distribution Hub 3, Industrial Park, City",2025-09-17 09:00:00,2025-09-24 09:00:00,2025-09-19 09:00:00,,TRK-0003-IND,2025-09-17 09:00:00,2025-09-17 09:00:00
4,FO-0004,4,4,SHIPPED,MULTI_WAREHOUSE,"Distribution Hub 4, Industrial Park, City",2025-09-20 09:00:00,2025-09-27 09:00:00,2025-09-22 09:00:00,,TRK-0004-IND,2025-09-20 09:00:00,2025-09-20 09:00:00
5,FO-0005,5,5,PARTIALLY_FULFILLED,MULTI_WAREHOUSE,"Distribution Hub 5, Industrial Park, City",2025-09-23 09:00:00,2025-09-30 09:00:00,2025-09-25 09:00:00,,TRK-0005-IND,2025-09-23 09:00:00,2025-09-23 09:00:00
6,FO-0006,6,6,SHIPPED,MULTI_WAREHOUSE,"Distribution Hub 6, Industrial Park, City",2025-09-26 09:00:00,2025-10-03 09:00:00,2025-09-28 09:00:00,,TRK-0006-IND,2025-09-26 09:00:00,2025-09-26 09:00:00
7,FO-0007,7,7,SHIPPED,MULTI_WAREHOUSE,"Distribution Hub 7, Industrial Park, City",2025-09-29 09:00:00,2025-10-06 09:00:00,2025-10-01 09:00:00,,TRK-0007-IND,2025-09-29 09:00:00,2025-09-29 09:00:00
8,FO-0008,8,8,PARTIALLY_FULFILLED,BACKORDER,"Distribution Hub 8, Industrial Park, City",2025-10-02 09:00:00,2025-10-09 09:00:00,2025-10-04 09:00:00,,TRK-0008-IND,2025-10-02 09:00:00,2025-10-02 09:00:00
9,FO-0009,9,9,PARTIALLY_FULFILLED,SINGLE_WAREHOUSE,"Distribution Hub 9, Industrial Park, City",2025-10-05 09:00:00,2025-10-12 09:00:00,2025-10-07 09:00:00,,TRK-0009-IND,2025-10-05 09:00:00,2025-10-05 09:00:00
10,FO-0010,10,10,ALLOCATED,SINGLE_WAREHOUSE,"Distribution Hub 10, Industrial Park, City",2025-10-08 09:00:00,2025-10-15 09:00:00,,,,2025-10-08 09:00:00,2025-10-08 09:00:00
11,FO-0011,11,11,PENDING,SINGLE_WAREHOUSE,"Distribution Hub 11, Industrial Park, City",2025-10-11 09:00:00,2025-10-18 09:00:00,,,,2025-10-11 09:00:00,2025-10-11 09:00:00
12,FO-0012,12,12,PARTIALLY_FULFILLED,BACKORDER,"Distribution Hub 12, Industrial Park, City",2025-10-14 09:00:00,2025-10-21 09:00:00,2025-10-16 09:00:00,,TRK-0012-IND,2025-10-14 09:00:00,2025-10-14 09:00:00
