id,invoice_number,customer_id,quotation_id,subscription_id,invoice_type,invoice_date,due_date,subtotal,discount_amount,tax_amount,total_amount,amount_paid,amount_due,currency,status,payment_status,created_at,updated_at
1,INV-0001,1,1,,CUSTOMER_INVOICE,2025-08-13 09:00:00,2025-09-12 09:00:00,820.0,0.0,65.6,885.6,885.6,0.0,USD,PAID,PAID,2025-08-13 09:00:00,2025-08-13 09:00:00
2,INV-0002,2,2,,CUSTOMER_INVOICE,2025-08-17 09:00:00,2025-09-16 09:00:00,1420.0,0.0,113.6,1533.6,1533.6,0.0,USD,PAID,PAID,2025-08-17 09:00:00,2025-08-17 09:00:00
3,INV-0003,3,3,,CUSTOMER_INVOICE,2025-08-21 09:00:00,2025-09-20 09:00:00,950.0,0.0,76.0,1026.0,513.0,513.0,USD,PARTIALLY_PAID,PARTIAL,2025-08-21 09:00:00,2025-08-21 09:00:00
4,INV-0004,4,4,,SUBSCRIPTION_INVOICE,2025-08-25 09:00:00,2025-09-24 09:00:00,1757.5,92.5,140.6,1898.1,0.0,1898.1,USD,POSTED,UNPAID,2025-08-25 09:00:00,2025-08-25 09:00:00
5,INV-0005,5,5,,CREDIT_NOTE,2025-08-29 09:00:00,2025-09-28 09:00:00,2845.0,0.0,227.6,3072.6,0.0,3072.6,USD,SENT,UNPAID,2025-08-29 09:00:00,2025-08-29 09:00:00
6,INV-0006,6,6,,CUSTOMER_INVOICE,2025-09-02 09:00:00,2025-10-02 09:00:00,370.0,0.0,29.6,399.6,0.0,399.6,USD,OVERDUE,UNPAID,2025-09-02 09:00:00,2025-09-02 09:00:00
7,INV-0007,7,7,,CUSTOMER_INVOICE,2025-09-06 09:00:00,2025-10-06 09:00:00,240.0,0.0,19.2,259.2,0.0,259.2,USD,DRAFT,UNPAID,2025-09-06 09:00:00,2025-09-06 09:00:00
8,INV-0008,8,8,,CUSTOMER_INVOICE,2025-09-10 09:00:00,2025-10-10 09:00:00,570.0,30.0,45.6,615.6,615.6,0.0,USD,PAID,PAID,2025-09-10 09:00:00,2025-09-10 09:00:00
9,INV-0009,9,9,,SUBSCRIPTION_INVOICE,2025-09-14 09:00:00,2025-10-14 09:00:00,1950.0,0.0,156.0,2106.0,2106.0,0.0,USD,PAID,PAID,2025-09-14 09:00:00,2025-09-14 09:00:00
10,INV-0010,10,10,,CREDIT_NOTE,2025-09-18 09:00:00,2025-10-18 09:00:00,510.0,0.0,40.8,550.8,275.4,275.4,USD,PARTIALLY_PAID,PARTIAL,2025-09-18 09:00:00,2025-09-18 09:00:00
