id,subscription_number,customer_id,quotation_id,product_id,plan_name,start_date,end_date,billing_frequency,quantity,unit_price,discount_percent,recurring_amount,status,next_billing_date,auto_renew,created_at,updated_at
1,SUB-0001,1,1,7,Basic Care Plan,2025-04-26 09:00:00,2026-04-26 09:00:00,MONTHLY,1,120.0,0.0,270.0,ACTIVE,2025-05-26 09:00:00,True,2025-04-26 09:00:00,2025-04-26 09:00:00
2,SUB-0002,2,2,8,Premium Support Suite,2025-05-11 09:00:00,2026-05-11 09:00:00,YEARLY,1,250.0,0.0,400.0,ACTIVE,2025-06-10 09:00:00,True,2025-05-11 09:00:00,2025-05-11 09:00:00
3,SUB-0003,3,3,9,Enterprise Care SLA,2025-05-26 09:00:00,2026-05-26 09:00:00,YEARLY,1,450.0,10.0,540.0,ACTIVE,2025-06-25 09:00:00,True,2025-05-26 09:00:00,2025-05-26 09:00:00
4,SUB-0004,4,4,23,Workstation Cloud Backup,2025-06-10 09:00:00,2026-06-10 09:00:00,MONTHLY,1,150.0,0.0,350.0,TRIAL,2025-07-10 09:00:00,True,2025-06-10 09:00:00,2025-06-10 09:00:00
5,SUB-0005,5,5,24,Managed Endpoint Security,2025-06-25 09:00:00,2026-06-25 09:00:00,QUARTERLY,1,200.0,0.0,350.0,PAUSED,,True,2025-06-25 09:00:00,2025-06-25 09:00:00
6,SUB-0006,6,6,7,Basic Care Plan,2025-07-10 09:00:00,2026-07-10 09:00:00,MONTHLY,1,120.0,10.0,243.0,CANCELLED,,True,2025-07-10 09:00:00,2025-07-10 09:00:00
7,SUB-0007,7,7,8,Premium Support Suite,2025-07-25 09:00:00,2026-07-25 09:00:00,YEARLY,1,250.0,0.0,400.0,EXPIRED,,True,2025-07-25 09:00:00,2025-07-25 09:00:00
8,SUB-0008,8,8,9,Enterprise Care SLA,2025-08-09 09:00:00,2026-08-09 09:00:00,YEARLY,1,450.0,0.0,600.0,ACTIVE,2025-09-08 09:00:00,True,2025-08-09 09:00:00,2025-08-09 09:00:00
9,SUB-0009,9,9,23,Workstation Cloud Backup,2025-08-24 09:00:00,2026-08-24 09:00:00,MONTHLY,1,150.0,10.0,315.0,ACTIVE,2025-09-23 09:00:00,True,2025-08-24 09:00:00,2025-08-24 09:00:00
10,SUB-0010,10,10,24,Managed Endpoint Security,2025-09-08 09:00:00,2026-09-08 09:00:00,QUARTERLY,1,200.0,0.0,350.0,ACTIVE,2025-10-08 09:00:00,True,2025-09-08 09:00:00,2025-09-08 09:00:00
11,SUB-0011,11,11,7,Basic Care Plan,2025-09-23 09:00:00,2026-09-23 09:00:00,MONTHLY,1,120.0,0.0,120.0,TRIAL,2025-10-23 09:00:00,True,2025-09-23 09:00:00,2025-09-23 09:00:00
12,SUB-0012,12,12,8,Premium Support Suite,2025-10-08 09:00:00,2026-10-08 09:00:00,YEARLY,1,250.0,10.0,225.0,PAUSED,,True,2025-10-08 09:00:00,2025-10-08 09:00:00
13,SUB-0013,13,13,9,Enterprise Care SLA,2025-10-23 09:00:00,2026-10-23 09:00:00,YEARLY,1,450.0,0.0,450.0,CANCELLED,,True,2025-10-23 09:00:00,2025-10-23 09:00:00
14,SUB-0014,14,14,23,Workstation Cloud Backup,2025-11-07 09:00:00,2026-11-07 09:00:00,MONTHLY,1,150.0,0.0,150.0,EXPIRED,,True,2025-11-07 09:00:00,2025-11-07 09:00:00
15,SUB-0015,15,15,24,Managed Endpoint Security,2025-11-22 09:00:00,2026-11-22 09:00:00,QUARTERLY,1,200.0,10.0,180.0,ACTIVE,2025-12-22 09:00:00,True,2025-11-22 09:00:00,2025-11-22 09:00:00
