id,quotation_id,product_id,quantity,unit_price,discount_percent,discount_amount,line_subtotal,unit_cost,line_cost,line_margin,line_margin_percent,discount_limit_percent,discount_status,created_at,updated_at
1,1,1,2,1200.0,12.0,288.0,2112.0,840.0,1680.0,432.0,20.45,15.0,OK,2026-01-16 09:00:00,2026-01-16 09:00:00
2,1,19,1,450.0,18.0,81.0,369.0,220.0,220.0,149.0,40.38,10.0,OVER_LIMIT,2026-01-16 09:00:00,2026-01-16 09:00:00
3,1,22,1,180.0,10.0,18.0,162.0,60.0,60.0,102.0,62.96,15.0,OK,2026-01-16 09:00:00,2026-01-16 09:00:00
4,2,5,1,380.0,22.0,83.6,296.4,240.0,240.0,56.4,19.03,15.0,OVER_LIMIT,2025-07-26 09:00:00,2025-07-26 09:00:00
5,2,6,1,650.0,5.0,32.5,617.5,400.0,400.0,217.5,35.22,15.0,OK,2025-07-26 09:00:00,2025-07-26 09:00:00
6,3,7,1,120.0,5.0,6.0,114.0,40.0,40.0,74.0,64.91,15.0,OK,2025-07-29 09:00:00,2025-07-29 09:00:00
7,3,8,1,250.0,5.0,12.5,237.5,75.0,75.0,162.5,68.42,15.0,OK,2025-07-29 09:00:00,2025-07-29 09:00:00
8,4,9,1,450.0,5.0,22.5,427.5,120.0,120.0,307.5,71.93,15.0,OK,2025-08-01 09:00:00,2025-08-01 09:00:00
9,4,10,1,500.0,5.0,25.0,475.0,340.0,340.0,135.0,28.42,15.0,OK,2025-08-01 09:00:00,2025-08-01 09:00:00
10,5,11,1,850.0,22.0,187.0,663.0,530.0,530.0,133.0,20.06,15.0,OVER_LIMIT,2025-08-04 09:00:00,2025-08-04 09:00:00
11,5,12,1,1400.0,5.0,70.0,1330.0,820.0,820.0,510.0,38.35,15.0,OK,2025-08-04 09:00:00,2025-08-04 09:00:00
12,6,13,1,45.0,5.0,2.25,42.75,18.0,18.0,24.75,57.89,15.0,OK,2025-08-07 09:00:00,2025-08-07 09:00:00
13,6,14,1,95.0,5.0,4.75,90.25,45.0,45.0,45.25,50.14,15.0,OK,2025-08-07 09:00:00,2025-08-07 09:00:00
14,7,15,1,180.0,5.0,9.0,171.0,95.0,95.0,76.0,44.44,15.0,OK,2025-08-10 09:00:00,2025-08-10 09:00:00
15,7,16,1,65.0,5.0,3.25,61.75,25.0,25.0,36.75,59.51,15.0,OK,2025-08-10 09:00:00,2025-08-10 09:00:00
16,8,17,1,110.0,22.0,24.2,85.8,55.0,55.0,30.8,35.9,15.0,OVER_LIMIT,2025-08-13 09:00:00,2025-08-13 09:00:00
17,8,18,1,75.0,5.0,3.75,71.25,30.0,30.0,41.25,57.89,15.0,OK,2025-08-13 09:00:00,2025-08-13 09:00:00
18,9,19,1,450.0,5.0,22.5,427.5,220.0,220.0,207.5,48.54,15.0,OK,2025-08-16 09:00:00,2025-08-16 09:00:00
19,9,20,1,600.0,5.0,30.0,570.0,280.0,280.0,290.0,50.88,15.0,OK,2025-08-16 09:00:00,2025-08-16 09:00:00
20,10,21,1,750.0,5.0,37.5,712.5,350.0,350.0,362.5,50.88,15.0,OK,2025-08-19 09:00:00,2025-08-19 09:00:00
21,10,22,1,180.0,5.0,9.0,171.0,60.0,60.0,111.0,64.91,15.0,OK,2025-08-19 09:00:00,2025-08-19 09:00:00
22,11,23,1,150.0,5.0,7.5,142.5,40.0,40.0,102.5,71.93,15.0,OK,2025-08-22 09:00:00,2025-08-22 09:00:00
23,11,24,1,200.0,5.0,10.0,190.0,60.0,60.0,130.0,68.42,15.0,OK,2025-08-22 09:00:00,2025-08-22 09:00:00
