id,warehouse_id,product_id,quantity_on_hand,quantity_reserved,quantity_available,reorder_level,reorder_quantity,unit_cost,stock_status,last_restocked_at,created_at,updated_at
1,1,1,60,5,55,10,40,840.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
2,2,1,45,3,42,10,40,840.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
3,1,2,60,5,55,10,40,1020.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
4,2,2,45,3,42,10,40,1020.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
5,1,3,60,5,55,10,40,1350.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
6,2,3,45,3,42,10,40,1350.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
7,1,4,30,4,26,10,40,150.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
8,2,4,25,2,23,10,40,150.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
9,1,5,30,4,26,10,40,240.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
10,2,5,25,2,23,10,40,240.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
11,1,6,30,4,26,10,40,400.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
12,2,6,25,2,23,10,40,400.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
13,1,7,30,4,26,10,40,40.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
14,2,7,25,2,23,10,40,40.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
15,1,8,60,5,55,10,40,75.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
16,2,8,45,3,42,10,40,75.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
17,1,9,30,4,26,10,40,120.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
18,2,9,25,2,23,10,40,120.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
19,1,10,15,2,13,10,40,340.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
20,2,10,10,1,9,10,40,340.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
21,1,11,15,2,13,10,40,530.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
22,2,11,10,1,9,10,40,530.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
