id,subscription_id,product_id,description,quantity,unit_price,discount_percent,line_total,billing_frequency,start_date,end_date,created_at,updated_at
1,1,7,Basic Care 1yr Recurring Subscription,1,120.0,0.0,120.0,MONTHLY,2025-04-26 09:00:00,2026-04-26 09:00:00,2025-04-26 09:00:00,2025-04-26 09:00:00
2,1,23,Cloud Backup 1yr Recurring Subscription,1,150.0,0.0,150.0,MONTHLY,2025-04-26 09:00:00,2026-04-26 09:00:00,2025-04-26 09:00:00,2025-04-26 09:00:00
3,2,8,Premium Care 2yr Recurring Subscription,1,250.0,0.0,250.0,YEARLY,2025-05-11 09:00:00,2026-05-11 09:00:00,2025-05-11 09:00:00,2025-05-11 09:00:00
4,2,23,Cloud Backup 1yr Recurring Subscription,1,150.0,0.0,150.0,YEARLY,2025-05-11 09:00:00,2026-05-11 09:00:00,2025-05-11 09:00:00,2025-05-11 09:00:00
5,3,9,Enterprise Care 3yr Recurring Subscription,1,450.0,10.0,405.0,YEARLY,2025-05-26 09:00:00,2026-05-26 09:00:00,2025-05-26 09:00:00,2025-05-26 09:00:00
6,3,23,Cloud Backup 1yr Recurring Subscription,1,150.0,10.0,135.0,YEARLY,2025-05-26 09:00:00,2026-05-26 09:00:00,2025-05-26 09:00:00,2025-05-26 09:00:00
7,4,23,Cloud Backup 1yr Recurring Subscription,1,150.0,0.0,150.0,MONTHLY,2025-06-10 09:00:00,2026-06-10 09:00:00,2025-06-10 09:00:00,2025-06-10 09:00:00
8,4,24,Endpoint Security Recurring Subscription,1,200.0,0.0,200.0,MONTHLY,2025-06-10 09:00:00,2026-06-10 09:00:00,2025-06-10 09:00:00,2025-06-10 09:00:00
9,5,24,Endpoint Security Recurring Subscription,1,200.0,0.0,200.0,QUARTERLY,2025-06-25 09:00:00,2026-06-25 09:00:00,2025-06-25 09:00:00,2025-06-25 09:00:00
10,5,23,Cloud Backup 1yr Recurring Subscription,1,150.0,0.0,150.0,QUARTERLY,2025-06-25 09:00:00,2026-06-25 09:00:00,2025-06-25 09:00:00,2025-06-25 09:00:00
11,6,7,Basic Care 1yr Recurring Subscription,1,120.0,10.0,108.0,MONTHLY,2025-07-10 09:00:00,2026-07-10 09:00:00,2025-07-10 09:00:00,2025-07-10 09:00:00
12,6,23,Cloud Backup 1yr Recurring Subscription,1,150.0,10.0,135.0,MONTHLY,2025-07-10 09:00:00,2026-07-10 09:00:00,2025-07-10 09:00:00,2025-07-10 09:00:00
13,7,8,Premium Care 2yr Recurring Subscription,1,250.0,0.0,250.0,YEARLY,2025-07-25 09:00:00,2026-07-25 09:00:00,2025-07-25 09:00:00,2025-07-25 09:00:00
14,7,23,Cloud Backup 1yr Recurring Subscription,1,150.0,0.0,150.0,YEARLY,2025-07-25 09:00:00,2026-07-25 09:00:00,2025-07-25 09:00:00,2025-07-25 09:00:00
15,8,9,Enterprise Care 3yr Recurring Subscription,1,450.0,0.0,450.0,YEARLY,2025-08-09 09:00:00,2026-08-09 09:00:00,2025-08-09 09:00:00,2025-08-09 09:00:00
16,8,23,Cloud Backup 1yr Recurring Subscription,1,150.0,0.0,150.0,YEARLY,2025-08-09 09:00:00,2026-08-09 09:00:00,2025-08-09 09:00:00,2025-08-09 09:00:00
17,9,23,Cloud Backup 1yr Recurring Subscription,1,150.0,10.0,135.0,MONTHLY,2025-08-24 09:00:00,2026-08-24 09:00:00,2025-08-24 09:00:00,2025-08-24 09:00:00
18,9,24,Endpoint Security Recurring Subscription,1,200.0,10.0,180.0,MONTHLY,2025-08-24 09:00:00,2026-08-24 09:00:00,2025-08-24 09:00:00,2025-08-24 09:00:00
19,10,24,Endpoint Security Recurring Subscription,1,200.0,0.0,200.0,QUARTERLY,2025-09-08 09:00:00,2026-09-08 09:00:00,2025-09-08 09:00:00,2025-09-08 09:00:00
20,10,23,Cloud Backup 1yr Recurring Subscription,1,150.0,0.0,150.0,QUARTERLY,2025-09-08 09:00:00,2026-09-08 09:00:00,2025-09-08 09:00:00,2025-09-08 09:00:00
21,11,7,Basic Care 1yr Recurring Subscription,1,120.0,0.0,120.0,MONTHLY,2025-09-23 09:00:00,2026-09-23 09:00:00,2025-09-23 09:00:00,2025-09-23 09:00:00
22,12,8,Premium Care 2yr Recurring Subscription,1,250.0,10.0,225.0,YEARLY,2025-10-08 09:00:00,2026-10-08 09:00:00,2025-10-08 09:00:00,2025-10-08 09:00:00
23,13,9,Enterprise Care 3yr Recurring Subscription,1,450.0,0.0,450.0,YEARLY,2025-10-23 09:00:00,2026-10-23 09:00:00,2025-10-23 09:00:00,2025-10-23 09:00:00
24,14,23,Cloud Backup 1yr Recurring Subscription,1,150.0,0.0,150.0,MONTHLY,2025-11-07 09:00:00,2026-11-07 09:00:00,2025-11-07 09:00:00,2025-11-07 09:00:00
25,15,24,Endpoint Security Recurring Subscription,1,200.0,10.0,180.0,QUARTERLY,2025-11-22 09:00:00,2026-11-22 09:00:00,2025-11-22 09:00:00,2025-11-22 09:00:00
