id,invoice_id,product_id,description,quantity,unit_price,discount_percent,discount_amount,tax_percent,line_subtotal,line_total,created_at,updated_at
1,1,4,Monitor Basic 24 Billing Line,2,220.0,0.0,0.0,8.0,440.0,475.2,2025-08-13 09:00:00,2025-08-13 09:00:00
2,1,5,Monitor Pro 27 Billing Line,1,380.0,0.0,0.0,8.0,380.0,410.4,2025-08-13 09:00:00,2025-08-13 09:00:00
3,2,6,Monitor Ultra 32 Billing Line,2,650.0,0.0,0.0,8.0,1300.0,1404.0,2025-08-17 09:00:00,2025-08-17 09:00:00
4,2,7,Basic Care 1yr Billing Line,1,120.0,0.0,0.0,8.0,120.0,129.6,2025-08-17 09:00:00,2025-08-17 09:00:00
5,3,8,Premium Care 2yr Billing Line,2,250.0,0.0,0.0,8.0,500.0,540.0,2025-08-21 09:00:00,2025-08-21 09:00:00
6,3,9,Enterprise Care 3yr Billing Line,1,450.0,0.0,0.0,8.0,450.0,486.0,2025-08-21 09:00:00,2025-08-21 09:00:00
7,4,10,Gateway Standard Billing Line,2,500.0,5.0,50.0,8.0,950.0,1026.0,2025-08-25 09:00:00,2025-08-25 09:00:00
8,4,11,Gateway Pro Billing Line,1,850.0,5.0,42.5,8.0,807.5,872.1,2025-08-25 09:00:00,2025-08-25 09:00:00
9,5,12,Gateway Enterprise Billing Line,2,1400.0,0.0,0.0,8.0,2800.0,3024.0,2025-08-29 09:00:00,2025-08-29 09:00:00
10,5,13,Wireless Mouse Billing Line,1,45.0,0.0,0.0,8.0,45.0,48.6,2025-08-29 09:00:00,2025-08-29 09:00:00
11,6,14,Mechanical Keyboard Billing Line,2,95.0,0.0,0.0,8.0,190.0,205.2,2025-09-02 09:00:00,2025-09-02 09:00:00
12,6,15,Docking Station Billing Line,1,180.0,0.0,0.0,8.0,180.0,194.4,2025-09-02 09:00:00,2025-09-02 09:00:00
13,7,16,Laptop Bag Billing Line,2,65.0,0.0,0.0,8.0,130.0,140.4,2025-09-06 09:00:00,2025-09-06 09:00:00
