id,approval_id,step_number,approver_id,approver_role,threshold_type,threshold_value,status,actioned_at,comment,created_at,updated_at
1,1,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,PENDING,,Pending Sales Manager review for services discount.,2026-01-17 09:00:00,2026-01-17 09:00:00
2,1,2,5,Finance/Operations,DISCOUNT_PERCENT,15.0,PENDING,,Second level approval required if manager approves.,2026-01-17 09:00:00,2026-01-17 09:00:00
3,2,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,APPROVED,2025-11-03 17:00:00,Step 1 actioned by Sales Manager.,2025-11-03 09:00:00,2025-11-03 09:00:00
4,2,2,5,Finance/Operations,DISCOUNT_PERCENT,15.0,APPROVED,2025-11-03 17:00:00,Step 2 actioned by Finance/Operations.,2025-11-03 09:00:00,2025-11-03 09:00:00
5,3,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,PENDING,,Awaiting action.,2025-11-06 09:00:00,2025-11-06 09:00:00
6,3,2,5,Finance/Operations,DISCOUNT_PERCENT,15.0,PENDING,,Awaiting action.,2025-11-06 09:00:00,2025-11-06 09:00:00
7,4,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,REJECTED,2025-11-09 17:00:00,Step 1 actioned by Sales Manager.,2025-11-09 09:00:00,2025-11-09 09:00:00
8,4,2,5,Finance/Operations,DISCOUNT_PERCENT,15.0,SKIPPED,,Step 2 actioned by Finance/Operations.,2025-11-09 09:00:00,2025-11-09 09:00:00
9,5,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,CANCELLED,,Step 1 actioned by Sales Manager.,2025-11-12 09:00:00,2025-11-12 09:00:00
10,5,2,5,Finance/Operations,DISCOUNT_PERCENT,15.0,CANCELLED,,Step 2 actioned by Finance/Operations.,2025-11-12 09:00:00,2025-11-12 09:00:00
11,6,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,APPROVED,2025-11-15 17:00:00,Step 1 actioned by Sales Manager.,2025-11-15 09:00:00,2025-11-15 09:00:00
12,6,2,5,Finance/Operations,DISCOUNT_PERCENT,15.0,APPROVED,2025-11-15 17:00:00,Step 2 actioned by Finance/Operations.,2025-11-15 09:00:00,2025-11-15 09:00:00
13,7,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,PENDING,,Awaiting action.,2025-11-18 09:00:00,2025-11-18 09:00:00
14,7,2,5,Finance/Operations,DISCOUNT_PERCENT,15.0,PENDING,,Awaiting action.,2025-11-18 09:00:00,2025-11-18 09:00:00
15,8,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,REJECTED,2025-11-21 17:00:00,Step 1 actioned by Sales Manager.,2025-11-21 09:00:00,2025-11-21 09:00:00
16,8,2,5,Finance/Operations,DISCOUNT_PERCENT,15.0,SKIPPED,,Step 2 actioned by Finance/Operations.,2025-11-21 09:00:00,2025-11-21 09:00:00
