id,order_number,customer_id,sales_rep_id,order_date,status,currency,subtotal,discount_amount,tax_amount,total_amount,payment_status,created_at,updated_at
1,ORD-0001,1,1,2025-01-07 09:00:00,COMPLETED,USD,2805.0,0.0,224.4,3029.4,PAID,2025-01-07 09:00:00,2025-01-07 09:00:00
2,ORD-0002,2,2,2025-01-13 09:00:00,COMPLETED,USD,1495.0,0.0,119.6,1614.6,PAID,2025-01-13 09:00:00,2025-01-13 09:00:00
3,ORD-0003,3,1,2025-01-19 09:00:00,COMPLETED,USD,1425.0,0.0,114.0,1539.0,PAID,2025-01-19 09:00:00,2025-01-19 09:00:00
4,ORD-0004,4,2,2025-01-25 09:00:00,COMPLETED,USD,1560.0,0.0,124.8,1684.8,PAID,2025-01-25 09:00:00,2025-01-25 09:00:00
5,ORD-0005,5,1,2025-01-31 09:00:00,COMPLETED,USD,1245.0,0.0,99.6,1344.6,PAID,2025-01-31 09:00:00,2025-01-31 09:00:00
6,ORD-0006,6,2,2025-02-06 09:00:00,COMPLETED,USD,1245.0,0.0,99.6,1344.6,PAID,2025-02-06 09:00:00,2025-02-06 09:00:00
7,ORD-0007,7,1,2025-02-12 09:00:00,COMPLETED,USD,1630.0,0.0,130.4,1760.4,PAID,2025-02-12 09:00:00,2025-02-12 09:00:00
8,ORD-0008,8,2,2025-02-18 09:00:00,COMPLETED,USD,1425.0,0.0,114.0,1539.0,PAID,2025-02-18 09:00:00,2025-02-18 09:00:00
9,ORD-0009,1,1,2025-02-24 09:00:00,COMPLETED,USD,1425.0,0.0,114.0,1539.0,PAID,2025-02-24 09:00:00,2025-02-24 09:00:00
10,ORD-0010,2,2,2025-03-02 09:00:00,COMPLETED,USD,1380.0,0.0,110.4,1490.4,PAID,2025-03-02 09:00:00,2025-03-02 09:00:00
11,ORD-0011,3,1,2025-03-08 09:00:00,COMPLETED,USD,1495.0,0.0,119.6,1614.6,PAID,2025-03-08 09:00:00,2025-03-08 09:00:00
12,ORD-0012,4,2,2025-03-14 09:00:00,COMPLETED,USD,1380.0,0.0,110.4,1490.4,PAID,2025-03-14 09:00:00,2025-03-14 09:00:00
13,ORD-0013,5,1,2025-03-20 09:00:00,COMPLETED,USD,1245.0,0.0,99.6,1344.6,PAID,2025-03-20 09:00:00,2025-03-20 09:00:00
14,ORD-0014,6,2,2025-03-26 09:00:00,COMPLETED,USD,1425.0,0.0,114.0,1539.0,PAID,2025-03-26 09:00:00,2025-03-26 09:00:00
15,ORD-0015,7,1,2025-04-01 09:00:00,COMPLETED,USD,1380.0,0.0,110.4,1490.4,PAID,2025-04-01 09:00:00,2025-04-01 09:00:00
16,ORD-0016,8,2,2025-04-07 09:00:00,COMPLETED,USD,1245.0,0.0,99.6,1344.6,PAID,2025-04-07 09:00:00,2025-04-07 09:00:00
17,ORD-0017,1,1,2025-04-13 09:00:00,COMPLETED,USD,1245.0,0.0,99.6,1344.6,PAID,2025-04-13 09:00:00,2025-04-13 09:00:00
18,ORD-0018,2,2,2025-04-19 09:00:00,COMPLETED,USD,1200.0,0.0,96.0,1296.0,PAID,2025-04-19 09:00:00,2025-04-19 09:00:00
19,ORD-0019,3,1,2025-04-25 09:00:00,COMPLETED,USD,1245.0,0.0,99.6,1344.6,PAID,2025-04-25 09:00:00,2025-04-25 09:00:00
20,ORD-0020,4,2,2025-05-01 09:00:00,COMPLETED,USD,1200.0,0.0,96.0,1296.0,PAID,2025-05-01 09:00:00,2025-05-01 09:00:00
21,ORD-0021,1,1,2025-08-29 09:00:00,COMPLETED,USD,3100.0,0.0,248.0,3348.0,PAID,2025-08-29 09:00:00,2025-08-29 09:00:00
22,ORD-0022,2,2,2025-09-08 09:00:00,COMPLETED,USD,1550.0,0.0,124.0,1674.0,PAID,2025-09-08 09:00:00,2025-09-08 09:00:00
23,ORD-0023,5,1,2025-09-23 09:00:00,COMPLETED,USD,1550.0,0.0,124.0,1674.0,PAID,2025-09-23 09:00:00,2025-09-23 09:00:00
24,ORD-0024,3,1,2025-10-08 09:00:00,COMPLETED,USD,2100.0,0.0,168.0,2268.0,PAID,2025-10-08 09:00:00,2025-10-08 09:00:00
25,ORD-0025,7,2,2025-10-18 09:00:00,COMPLETED,USD,760.0,0.0,60.8,820.8,PAID,2025-10-18 09:00:00,2025-10-18 09:00:00
26,ORD-0026,26,2,2025-07-02 09:00:00,COMPLETED,USD,720.0,0.0,57.6,777.6,PAID,2025-07-02 09:00:00,2025-07-02 09:00:00
27,ORD-0027,27,1,2025-07-09 09:00:00,COMPLETED,USD,1350.0,0.0,108.0,1458.0,PAID,2025-07-09 09:00:00,2025-07-09 09:00:00
28,ORD-0028,28,2,2025-07-16 09:00:00,CANCELLED,USD,850.0,0.0,68.0,918.0,CANCELLED,2025-07-16 09:00:00,2025-07-16 09:00:00
29,ORD-0029,29,1,2025-07-23 09:00:00,COMPLETED,USD,95.0,0.0,7.6,102.6,PAID,2025-07-23 09:00:00,2025-07-23 09:00:00
30,ORD-0030,30,2,2025-07-30 09:00:00,COMPLETED,USD,65.0,0.0,5.2,70.2,PAID,2025-07-30 09:00:00,2025-07-30 09:00:00
31,ORD-0031,31,1,2025-08-06 09:00:00,COMPLETED,USD,110.0,0.0,8.8,118.8,PAID,2025-08-06 09:00:00,2025-08-06 09:00:00
32,ORD-0032,32,2,2025-08-13 09:00:00,COMPLETED,USD,75.0,0.0,6.0,81.0,PAID,2025-08-13 09:00:00,2025-08-13 09:00:00
33,ORD-0033,33,1,2025-08-20 09:00:00,COMPLETED,USD,750.0,0.0,60.0,810.0,PAID,2025-08-20 09:00:00,2025-08-20 09:00:00
34,ORD-0034,34,2,2025-08-27 09:00:00,COMPLETED,USD,220.0,0.0,17.6,237.6,PAID,2025-08-27 09:00:00,2025-08-27 09:00:00
35,ORD-0035,35,1,2025-09-03 09:00:00,COMPLETED,USD,500.0,0.0,40.0,540.0,PAID,2025-09-03 09:00:00,2025-09-03 09:00:00
36,ORD-0036,1,2,2025-09-10 09:00:00,COMPLETED,USD,850.0,0.0,68.0,918.0,PAID,2025-09-10 09:00:00,2025-09-10 09:00:00
37,ORD-0037,2,1,2025-09-17 09:00:00,COMPLETED,USD,95.0,0.0,7.6,102.6,PAID,2025-09-17 09:00:00,2025-09-17 09:00:00
38,ORD-0038,3,2,2025-09-24 09:00:00,COMPLETED,USD,65.0,0.0,5.2,70.2,PAID,2025-09-24 09:00:00,2025-09-24 09:00:00
39,ORD-0039,4,1,2025-10-01 09:00:00,COMPLETED,USD,110.0,0.0,8.8,118.8,PAID,2025-10-01 09:00:00,2025-10-01 09:00:00
40,ORD-0040,5,2,2025-10-08 09:00:00,COMPLETED,USD,75.0,0.0,6.0,81.0,PAID,2025-10-08 09:00:00,2025-10-08 09:00:00
41,ORD-0041,6,1,2025-10-15 09:00:00,COMPLETED,USD,750.0,0.0,60.0,810.0,PAID,2025-10-15 09:00:00,2025-10-15 09:00:00
42,ORD-0042,7,2,2025-10-22 09:00:00,COMPLETED,USD,220.0,0.0,17.6,237.6,PAID,2025-10-22 09:00:00,2025-10-22 09:00:00
43,ORD-0043,8,1,2025-10-29 09:00:00,COMPLETED,USD,500.0,0.0,40.0,540.0,PAID,2025-10-29 09:00:00,2025-10-29 09:00:00
44,ORD-0044,9,2,2025-11-05 09:00:00,CANCELLED,USD,850.0,0.0,68.0,918.0,CANCELLED,2025-11-05 09:00:00,2025-11-05 09:00:00
45,ORD-0045,10,1,2025-11-12 09:00:00,COMPLETED,USD,95.0,0.0,7.6,102.6,PAID,2025-11-12 09:00:00,2025-11-12 09:00:00
46,ORD-0046,11,2,2025-11-19 09:00:00,COMPLETED,USD,65.0,0.0,5.2,70.2,PAID,2025-11-19 09:00:00,2025-11-19 09:00:00
47,ORD-0047,12,1,2025-11-26 09:00:00,COMPLETED,USD,110.0,0.0,8.8,118.8,PAID,2025-11-26 09:00:00,2025-11-26 09:00:00
48,ORD-0048,13,2,2025-12-03 09:00:00,COMPLETED,USD,75.0,0.0,6.0,81.0,PAID,2025-12-03 09:00:00,2025-12-03 09:00:00
49,ORD-0049,14,1,2025-12-10 09:00:00,COMPLETED,USD,750.0,0.0,60.0,810.0,PAID,2025-12-10 09:00:00,2025-12-10 09:00:00
50,ORD-0050,15,2,2025-12-17 09:00:00,COMPLETED,USD,220.0,0.0,17.6,237.6,PAID,2025-12-17 09:00:00,2025-12-17 09:00:00
