id,negotiation_number,quotation_id,customer_id,initiated_by,current_discount_percent,requested_discount_percent,current_total,requested_total,customer_message,sales_response,status,risk_score,created_at,updated_at
1,NEG-0001,1,1,6,12.77,22.0,2854.44,2552.47,We would like an additional discount of 22.0% for our volume rollout.,"We cannot offer 22% on hardware, but we can include Premium Care at a special rate.",COUNTERED,75.0,2026-01-18 09:00:00,2026-01-18 09:00:00
2,NEG-0002,2,2,7,11.27,22.0,987.01,867.67,We would like an additional discount of 22.0% for our volume rollout.,"We cannot offer 22% on hardware, but we can include Premium Care at a special rate.",COUNTERED,75.0,2025-07-28 09:00:00,2025-07-28 09:00:00
3,NEG-0003,3,3,7,5.0,22.0,379.62,311.69,We would like an additional discount of 22.0% for our volume rollout.,"We cannot offer 22% on hardware, but we can include Premium Care at a special rate.",ACCEPTED,75.0,2025-07-31 09:00:00,2025-07-31 09:00:00
4,NEG-0004,4,4,7,5.0,10.0,974.7,923.4,We would like an additional discount of 10.0% for our volume rollout.,We have reviewed your request.,REJECTED,45.0,2025-08-03 09:00:00,2025-08-03 09:00:00
5,NEG-0005,5,5,7,11.42,16.42,2152.44,2030.99,We would like an additional discount of 16.42% for our volume rollout.,We have reviewed your request.,EXPIRED,45.0,2025-08-06 09:00:00,2025-08-06 09:00:00
6,NEG-0006,6,6,7,5.0,10.0,143.64,136.08,We would like an additional discount of 10.0% for our volume rollout.,We have reviewed your request.,OPEN,45.0,2025-08-09 09:00:00,2025-08-09 09:00:00
7,NEG-0007,7,7,7,5.0,10.0,251.37,238.14,We would like an additional discount of 10.0% for our volume rollout.,We have reviewed your request.,COUNTERED,45.0,2025-08-12 09:00:00,2025-08-12 09:00:00
8,NEG-0008,8,8,7,15.11,20.11,169.61,159.62,We would like an additional discount of 20.11% for our volume rollout.,We have reviewed your request.,ACCEPTED,45.0,2025-08-15 09:00:00,2025-08-15 09:00:00
9,NEG-0009,9,9,7,5.0,10.0,1077.3,1020.6,We would like an additional discount of 10.0% for our volume rollout.,We have reviewed your request.,REJECTED,45.0,2025-08-18 09:00:00,2025-08-18 09:00:00
10,NEG-0010,10,10,7,5.0,10.0,954.18,903.96,We would like an additional discount of 10.0% for our volume rollout.,We have reviewed your request.,EXPIRED,45.0,2025-08-21 09:00:00,2025-08-21 09:00:00
11,NEG-0011,11,11,7,5.0,10.0,359.1,340.2,We would like an additional discount of 10.0% for our volume rollout.,We have reviewed your request.,OPEN,45.0,2025-08-24 09:00:00,2025-08-24 09:00:00
12,NEG-0012,12,12,7,12.42,17.42,2601.18,2452.63,We would like an additional discount of 17.42% for our volume rollout.,We have reviewed your request.,COUNTERED,45.0,2025-08-27 09:00:00,2025-08-27 09:00:00
13,NEG-0013,13,13,7,5.0,10.0,2380.32,2255.04,We would like an additional discount of 10.0% for our volume rollout.,We have reviewed your request.,ACCEPTED,45.0,2025-08-30 09:00:00,2025-08-30 09:00:00
14,NEG-0014,14,14,7,5.0,10.0,1056.78,1001.16,We would like an additional discount of 10.0% for our volume rollout.,We have reviewed your request.,REJECTED,45.0,2025-09-02 09:00:00,2025-09-02 09:00:00
15,NEG-0015,15,15,7,5.0,10.0,379.62,359.64,We would like an additional discount of 10.0% for our volume rollout.,We have reviewed your request.,EXPIRED,45.0,2025-09-05 09:00:00,2025-09-05 09:00:00
