id,payment_number,invoice_id,customer_id,payment_date,amount,currency,payment_method,transaction_reference,status,notes,created_at,updated_at
1,PAY-0001,1,1,2025-08-17 09:00:00,885.6,USD,BANK_TRANSFER,TXN-FULL-00001,SUCCESS,Full payment settled via wire transfer.,2025-08-17 09:00:00,2025-08-17 09:00:00
2,PAY-0002,2,2,2025-08-21 09:00:00,1533.6,USD,CARD,TXN-FULL-00002,SUCCESS,Full payment settled via wire transfer.,2025-08-21 09:00:00,2025-08-21 09:00:00
3,PAY-0003,3,3,2025-08-26 09:00:00,513.0,USD,UPI,TXN-PART-00003,SUCCESS,Partial installment payment received.,2025-08-26 09:00:00,2025-08-26 09:00:00
4,PAY-0004,8,8,2025-09-14 09:00:00,615.6,USD,OTHER,TXN-FULL-00004,SUCCESS,Full payment settled via wire transfer.,2025-09-14 09:00:00,2025-09-14 09:00:00
5,PAY-0005,9,9,2025-09-18 09:00:00,2106.0,USD,BANK_TRANSFER,TXN-FULL-00005,SUCCESS,Full payment settled via wire transfer.,2025-09-18 09:00:00,2025-09-18 09:00:00
6,PAY-0006,10,10,2025-09-23 09:00:00,275.4,USD,CARD,TXN-PART-00006,SUCCESS,Partial installment payment received.,2025-09-23 09:00:00,2025-09-23 09:00:00
7,PAY-0007,15,15,2025-10-12 09:00:00,1026.0,USD,UPI,TXN-FULL-00007,SUCCESS,Full payment settled via wire transfer.,2025-10-12 09:00:00,2025-10-12 09:00:00
8,PAY-0008,16,16,2025-10-16 09:00:00,1898.1,USD,OTHER,TXN-FULL-00008,SUCCESS,Full payment settled via wire transfer.,2025-10-16 09:00:00,2025-10-16 09:00:00
9,PAY-0009,17,17,2025-10-21 09:00:00,1536.3,USD,BANK_TRANSFER,TXN-PART-00009,SUCCESS,Partial installment payment received.,2025-10-21 09:00:00,2025-10-21 09:00:00
10,PAY-0010,22,22,2025-11-09 09:00:00,388.8,USD,CARD,TXN-FULL-00010,SUCCESS,Full payment settled via wire transfer.,2025-11-09 09:00:00,2025-11-09 09:00:00
11,PAY-0011,23,23,2025-11-13 09:00:00,432.0,USD,UPI,TXN-FULL-00011,SUCCESS,Full payment settled via wire transfer.,2025-11-13 09:00:00,2025-11-13 09:00:00
12,PAY-0012,24,24,2025-11-18 09:00:00,1590.3,USD,OTHER,TXN-PART-00012,SUCCESS,Partial installment payment received.,2025-11-18 09:00:00,2025-11-18 09:00:00
13,PAY-0013,29,29,2025-12-07 09:00:00,3024.0,USD,BANK_TRANSFER,TXN-FULL-00013,SUCCESS,Full payment settled via wire transfer.,2025-12-07 09:00:00,2025-12-07 09:00:00
14,PAY-0014,30,30,2025-12-11 09:00:00,205.2,USD,CARD,TXN-FULL-00014,SUCCESS,Full payment settled via wire transfer.,2025-12-11 09:00:00,2025-12-11 09:00:00
15,PAY-0015,31,31,2025-12-16 09:00:00,70.2,USD,UPI,TXN-PART-00015,SUCCESS,Partial installment payment received.,2025-12-16 09:00:00,2025-12-16 09:00:00
16,PAY-0016,36,36,2026-01-04 09:00:00,3180.6,USD,OTHER,TXN-FULL-00016,SUCCESS,Full payment settled via wire transfer.,2026-01-04 09:00:00,2026-01-04 09:00:00
17,PAY-0017,37,37,2026-01-08 09:00:00,475.2,USD,BANK_TRANSFER,TXN-FULL-00017,SUCCESS,Full payment settled via wire transfer.,2026-01-08 09:00:00,2026-01-08 09:00:00
18,PAY-0018,38,38,2026-01-13 09:00:00,702.0,USD,CARD,TXN-PART-00018,SUCCESS,Partial installment payment received.,2026-01-13 09:00:00,2026-01-13 09:00:00
19,PAY-0019,18,18,2025-11-21 09:00:00,79.92,USD,CARD,TXN-FAIL-00019,FAILED,Credit card processing declined by bank.,2025-11-21 09:00:00,2025-11-21 09:00:00
20,PAY-0020,21,21,2025-12-03 09:00:00,259.2,USD,CARD,TXN-FAIL-00020,FAILED,Credit card processing declined by bank.,2025-12-03 09:00:00,2025-12-03 09:00:00
21,PAY-0021,24,24,2025-12-15 09:00:00,318.06,USD,CARD,TXN-FAIL-00021,FAILED,Credit card processing declined by bank.,2025-12-15 09:00:00,2025-12-15 09:00:00
22,PAY-0022,27,27,2025-12-27 09:00:00,108.0,USD,CARD,TXN-FAIL-00022,FAILED,Credit card processing declined by bank.,2025-12-27 09:00:00,2025-12-27 09:00:00
23,PAY-0023,30,30,2026-01-08 09:00:00,100.0,USD,CARD,TXN-FAIL-00023,FAILED,Credit card processing declined by bank.,2026-01-08 09:00:00,2026-01-08 09:00:00
24,PAY-0024,33,33,2026-01-20 09:00:00,259.2,USD,CARD,TXN-FAIL-00024,FAILED,Credit card processing declined by bank.,2026-01-20 09:00:00,2026-01-20 09:00:00
25,PAY-0025,36,36,2026-02-01 09:00:00,100.0,USD,CARD,TXN-FAIL-00025,FAILED,Credit card processing declined by bank.,2026-02-01 09:00:00,2026-02-01 09:00:00
26,PAY-0026,39,39,2026-02-13 09:00:00,108.0,USD,CARD,TXN-FAIL-00026,FAILED,Credit card processing declined by bank.,2026-02-13 09:00:00,2026-02-13 09:00:00
27,PAY-0027,2,2,2025-09-18 09:00:00,100.0,USD,CARD,TXN-FAIL-00027,FAILED,Credit card processing declined by bank.,2025-09-18 09:00:00,2025-09-18 09:00:00
28,PAY-0028,5,5,2025-09-30 09:00:00,614.52,USD,CARD,TXN-FAIL-00028,FAILED,Credit card processing declined by bank.,2025-09-30 09:00:00,2025-09-30 09:00:00
29,PAY-0029,8,8,2025-10-12 09:00:00,100.0,USD,CARD,TXN-FAIL-00029,FAILED,Credit card processing declined by bank.,2025-10-12 09:00:00,2025-10-12 09:00:00
30,PAY-0030,11,11,2025-10-24 09:00:00,345.6,USD,CARD,TXN-FAIL-00030,FAILED,Credit card processing declined by bank.,2025-10-24 09:00:00,2025-10-24 09:00:00
31,PAY-0031,14,14,2025-11-05 09:00:00,306.72,USD,CARD,TXN-FAIL-00031,FAILED,Credit card processing declined by bank.,2025-11-05 09:00:00,2025-11-05 09:00:00
32,PAY-0032,17,17,2025-11-17 09:00:00,307.26,USD,CARD,TXN-FAIL-00032,FAILED,Credit card processing declined by bank.,2025-11-17 09:00:00,2025-11-17 09:00:00
33,PAY-0033,20,20,2025-11-29 09:00:00,123.12,USD,CARD,TXN-FAIL-00033,FAILED,Credit card processing declined by bank.,2025-11-29 09:00:00,2025-11-29 09:00:00
34,PAY-0034,23,23,2025-12-11 09:00:00,100.0,USD,CARD,TXN-FAIL-00034,FAILED,Credit card processing declined by bank.,2025-12-11 09:00:00,2025-12-11 09:00:00
35,PAY-0035,26,26,2025-12-23 09:00:00,280.8,USD,CARD,TXN-FAIL-00035,FAILED,Credit card processing declined by bank.,2025-12-23 09:00:00,2025-12-23 09:00:00
