id,quote_number,customer_id,sales_rep_id,price_list_id,quote_date,valid_until,status,currency,subtotal,discount_amount,tax_amount,total_amount,total_cost,gross_margin,margin_percent,discount_percent,approval_required,approval_status,deal_health_score,customer_notes,internal_notes,created_at,updated_at
1,Q-1042,1,1,1,2026-01-16 09:00:00,2026-02-15 09:00:00,PENDING_APPROVAL,USD,3030.0,387.0,211.44,2854.44,1960.0,683.0,25.84,12.77,True,PENDING,64.0,Standard quotation terms for Q-1042.,Review discount thresholds and margins.,2026-01-16 09:00:00,2026-01-16 09:00:00
2,Q-1002,2,2,1,2025-07-26 09:00:00,2025-08-25 09:00:00,PENDING_APPROVAL,USD,1030.0,116.1,73.11,987.01,640.0,273.9,29.97,11.27,True,PENDING,60.0,Standard quotation terms for Q-1002.,Review discount thresholds and margins.,2025-07-26 09:00:00,2025-07-26 09:00:00
3,Q-1003,3,1,1,2025-07-29 09:00:00,2025-08-28 09:00:00,PENDING_APPROVAL,USD,370.0,18.5,28.12,379.62,115.0,236.5,67.28,5.0,False,,88.0,Standard quotation terms for Q-1003.,Standard deal.,2025-07-29 09:00:00,2025-07-29 09:00:00
4,Q-1004,4,2,1,2025-08-01 09:00:00,2025-08-31 09:00:00,APPROVED,USD,950.0,47.5,72.2,974.7,460.0,442.5,49.03,5.0,False,APPROVED,76.0,Standard quotation terms for Q-1004.,Standard deal.,2025-08-01 09:00:00,2025-08-01 09:00:00
5,Q-1005,5,1,1,2025-08-04 09:00:00,2025-09-03 09:00:00,PENDING_APPROVAL,USD,2250.0,257.0,159.44,2152.44,1350.0,643.0,32.26,11.42,True,PENDING,60.0,Standard quotation terms for Q-1005.,Review discount thresholds and margins.,2025-08-04 09:00:00,2025-08-04 09:00:00
6,Q-1006,6,2,1,2025-08-07 09:00:00,2025-09-06 09:00:00,SENT,USD,140.0,7.0,10.64,143.64,63.0,70.0,52.63,5.0,False,,86.0,Standard quotation terms for Q-1006.,Standard deal.,2025-08-07 09:00:00,2025-08-07 09:00:00
7,Q-1007,7,1,1,2025-08-10 09:00:00,2025-09-09 09:00:00,ACCEPTED,USD,245.0,12.25,18.62,251.37,120.0,112.75,48.44,5.0,False,,70.0,Standard quotation terms for Q-1007.,Standard deal.,2025-08-10 09:00:00,2025-08-10 09:00:00
8,Q-1008,8,2,1,2025-08-13 09:00:00,2025-09-12 09:00:00,PENDING_APPROVAL,USD,185.0,27.95,12.56,169.61,85.0,72.05,45.88,15.11,True,PENDING,60.0,Standard quotation terms for Q-1008.,Review discount thresholds and margins.,2025-08-13 09:00:00,2025-08-13 09:00:00
9,Q-1009,9,1,1,2025-08-16 09:00:00,2025-09-15 09:00:00,CANCELLED,USD,1050.0,52.5,79.8,1077.3,500.0,497.5,49.87,5.0,False,,73.0,Standard quotation terms for Q-1009.,Standard deal.,2025-08-16 09:00:00,2025-08-16 09:00:00
10,Q-1010,10,2,1,2025-08-19 09:00:00,2025-09-18 09:00:00,REJECTED,USD,930.0,46.5,70.68,954.18,410.0,473.5,53.59,5.0,False,,80.0,Standard quotation terms for Q-1010.,Standard deal.,2025-08-19 09:00:00,2025-08-19 09:00:00
11,Q-1011,11,1,1,2025-08-22 09:00:00,2025-09-21 09:00:00,DRAFT,USD,350.0,17.5,26.6,359.1,100.0,232.5,69.92,5.0,False,,81.0,Standard quotation terms for Q-1011.,Standard deal.,2025-08-22 09:00:00,2025-08-22 09:00:00
12,Q-1012,12,2,1,2025-08-25 09:00:00,2025-09-24 09:00:00,PENDING_APPROVAL,USD,2750.0,341.5,192.68,2601.18,1860.0,548.5,22.77,12.42,True,PENDING,60.0,Standard quotation terms for Q-1012.,Review discount thresholds and margins.,2025-08-25 09:00:00,2025-08-25 09:00:00
13,Q-1013,13,1,1,2025-08-28 09:00:00,2025-09-27 09:00:00,APPROVED,USD,2320.0,116.0,176.32,2380.32,1500.0,704.0,31.94,5.0,False,APPROVED,85.0,Standard quotation terms for Q-1013.,Standard deal.,2025-08-28 09:00:00,2025-08-28 09:00:00
14,Q-1014,14,2,1,2025-08-31 09:00:00,2025-09-30 09:00:00,SUBMITTED,USD,1030.0,51.5,78.28,1056.78,640.0,338.5,34.59,5.0,False,,72.0,Standard quotation terms for Q-1014.,Standard deal.,2025-08-31 09:00:00,2025-08-31 09:00:00
15,Q-1015,15,1,1,2025-09-03 09:00:00,2025-10-03 09:00:00,SENT,USD,370.0,18.5,28.12,379.62,115.0,236.5,67.28,5.0,False,,95.0,Standard quotation terms for Q-1015.,Standard deal.,2025-09-03 09:00:00,2025-09-03 09:00:00
16,Q-1016,16,2,1,2025-09-06 09:00:00,2025-10-06 09:00:00,ACCEPTED,USD,950.0,47.5,72.2,974.7,460.0,442.5,49.03,5.0,False,,76.0,Standard quotation terms for Q-1016.,Standard deal.,2025-09-06 09:00:00,2025-09-06 09:00:00
17,Q-1017,17,1,1,2025-09-09 09:00:00,2025-10-09 09:00:00,EXPIRED,USD,2250.0,112.5,171.0,2308.5,1350.0,787.5,36.84,5.0,False,,81.0,Standard quotation terms for Q-1017.,Standard deal.,2025-09-09 09:00:00,2025-09-09 09:00:00
18,Q-1018,18,2,1,2025-09-12 09:00:00,2025-10-12 09:00:00,CANCELLED,USD,140.0,14.65,10.03,135.38,63.0,62.35,49.74,10.46,False,,83.0,Standard quotation terms for Q-1018.,Standard deal.,2025-09-12 09:00:00,2025-09-12 09:00:00
19,Q-1019,19,1,1,2025-09-15 09:00:00,2025-10-15 09:00:00,REJECTED,USD,245.0,12.25,18.62,251.37,120.0,112.75,48.44,5.0,False,,90.0,Standard quotation terms for Q-1019.,Standard deal.,2025-09-15 09:00:00,2025-09-15 09:00:00
20,Q-1020,20,2,1,2025-09-18 09:00:00,2025-10-18 09:00:00,DRAFT,USD,185.0,9.25,14.06,189.81,85.0,90.75,51.64,5.0,False,,78.0,Standard quotation terms for Q-1020.,Standard deal.,2025-09-18 09:00:00,2025-09-18 09:00:00
21,Q-1021,21,1,1,2025-09-21 09:00:00,2025-10-21 09:00:00,PENDING_APPROVAL,USD,1050.0,52.5,79.8,1077.3,500.0,497.5,49.87,5.0,False,,86.0,Standard quotation terms for Q-1021.,Standard deal.,2025-09-21 09:00:00,2025-09-21 09:00:00
