id,negotiation_id,sender_type,sender_id,message,requested_discount_percent,proposed_discount_percent,timestamp,created_at,updated_at
1,1,CUSTOMER,6,We would like a 22.0% discount for this deployment.,22.0,,2026-01-18 09:00:00,2026-01-18 09:00:00,2026-01-18 09:00:00
2,1,SYSTEM,,Requested discount exceeds standard allowed discount threshold for this tier.,22.0,,2026-01-18 09:05:00,2026-01-18 09:05:00,2026-01-18 09:05:00
3,1,SALES_REP,1,"Instead of increasing the unit discount to 22%, we can include Premium Support 2yr at 15% off.",22.0,14.0,2026-01-18 11:00:00,2026-01-18 11:00:00,2026-01-18 11:00:00
4,2,CUSTOMER,7,We would like a 22.0% discount for this deployment.,22.0,,2025-07-28 09:00:00,2025-07-28 09:00:00,2025-07-28 09:00:00
5,2,SYSTEM,,Requested discount exceeds standard allowed discount threshold for this tier.,22.0,,2025-07-28 09:05:00,2025-07-28 09:05:00,2025-07-28 09:05:00
6,2,SALES_REP,1,"Instead of increasing the unit discount to 22%, we can include Premium Support 2yr at 15% off.",22.0,14.0,2025-07-28 11:00:00,2025-07-28 11:00:00,2025-07-28 11:00:00
7,3,CUSTOMER,7,We would like a 22.0% discount for this deployment.,22.0,,2025-07-31 09:00:00,2025-07-31 09:00:00,2025-07-31 09:00:00
8,3,SYSTEM,,Requested discount exceeds standard allowed discount threshold for this tier.,22.0,,2025-07-31 09:05:00,2025-07-31 09:05:00,2025-07-31 09:05:00
9,3,SALES_REP,1,"Instead of increasing the unit discount to 22%, we can include Premium Support 2yr at 15% off.",22.0,14.0,2025-07-31 11:00:00,2025-07-31 11:00:00,2025-07-31 11:00:00
10,4,CUSTOMER,7,We would like a 10.0% discount for this deployment.,10.0,,2025-08-03 09:00:00,2025-08-03 09:00:00,2025-08-03 09:00:00
11,4,SYSTEM,,Requested discount exceeds standard allowed discount threshold for this tier.,10.0,,2025-08-03 09:05:00,2025-08-03 09:05:00,2025-08-03 09:05:00
12,4,SALES_REP,1,"Instead of increasing the unit discount to 22%, we can include Premium Support 2yr at 15% off.",10.0,14.0,2025-08-03 11:00:00,2025-08-03 11:00:00,2025-08-03 11:00:00
13,5,CUSTOMER,7,We would like a 16.42% discount for this deployment.,16.42,,2025-08-06 09:00:00,2025-08-06 09:00:00,2025-08-06 09:00:00
14,5,SYSTEM,,Requested discount exceeds standard allowed discount threshold for this tier.,16.42,,2025-08-06 09:05:00,2025-08-06 09:05:00,2025-08-06 09:05:00
15,5,SALES_REP,1,"Instead of increasing the unit discount to 22%, we can include Premium Support 2yr at 15% off.",16.42,14.0,2025-08-06 11:00:00,2025-08-06 11:00:00,2025-08-06 11:00:00
16,6,CUSTOMER,7,We would like a 10.0% discount for this deployment.,10.0,,2025-08-09 09:00:00,2025-08-09 09:00:00,2025-08-09 09:00:00
17,7,CUSTOMER,7,We would like a 10.0% discount for this deployment.,10.0,,2025-08-12 09:00:00,2025-08-12 09:00:00,2025-08-12 09:00:00
18,8,CUSTOMER,7,We would like a 20.11% discount for this deployment.,20.11,,2025-08-15 09:00:00,2025-08-15 09:00:00,2025-08-15 09:00:00
19,9,CUSTOMER,7,We would like a 10.0% discount for this deployment.,10.0,,2025-08-18 09:00:00,2025-08-18 09:00:00,2025-08-18 09:00:00
20,10,CUSTOMER,7,We would like a 10.0% discount for this deployment.,10.0,,2025-08-21 09:00:00,2025-08-21 09:00:00,2025-08-21 09:00:00
21,11,CUSTOMER,7,We would like a 10.0% discount for this deployment.,10.0,,2025-08-24 09:00:00,2025-08-24 09:00:00,2025-08-24 09:00:00
22,12,CUSTOMER,7,We would like a 17.42% discount for this deployment.,17.42,,2025-08-27 09:00:00,2025-08-27 09:00:00,2025-08-27 09:00:00
23,13,CUSTOMER,7,We would like a 10.0% discount for this deployment.,10.0,,2025-08-30 09:00:00,2025-08-30 09:00:00,2025-08-30 09:00:00
24,14,CUSTOMER,7,We would like a 10.0% discount for this deployment.,10.0,,2025-09-02 09:00:00,2025-09-02 09:00:00,2025-09-02 09:00:00
25,15,CUSTOMER,7,We would like a 10.0% discount for this deployment.,10.0,,2025-09-05 09:00:00,2025-09-05 09:00:00,2025-09-05 09:00:00
