id,quotation_id,snapshot_date,health_score,margin_score,discount_risk_score,customer_engagement_score,fulfillment_score,payment_score,anomaly_score,revenue_score,risk_level,top_risk,recommended_action,created_at,updated_at
1,1,2026-01-14 09:00:00,82.0,85.0,90.0,80.0,85.0,90.0,10.0,88.0,LOW,No significant risk identified,Proceed with client review,2026-01-14 09:00:00,2026-01-14 09:00:00
2,1,2026-01-16 09:00:00,64.0,68.0,50.0,75.0,80.0,85.0,45.0,75.0,MEDIUM,Services discount exceeds 10% ceiling,Submit discount approval request,2026-01-16 09:00:00,2026-01-16 09:00:00
3,1,2026-01-18 09:00:00,78.0,79.0,70.0,85.0,85.0,88.0,25.0,84.0,LOW,Cross-sell bundle improves margin profile,Present bundle options to buyer,2026-01-18 09:00:00,2026-01-18 09:00:00
4,1,2026-01-20 09:00:00,85.0,84.0,85.0,90.0,85.0,92.0,15.0,89.0,LOW,Deal approved by sales manager,Finalize quote and issue to customer,2026-01-20 09:00:00,2026-01-20 09:00:00
5,2,2025-07-27 09:00:00,60.0,62.0,57.0,80.0,85.0,90.0,40.0,60.0,HIGH,Discount variance,Review approval state,2025-07-27 09:00:00,2025-07-27 09:00:00
6,3,2025-07-30 09:00:00,88.0,90.0,85.0,80.0,85.0,90.0,12.0,88.0,LOW,Healthy deal profile,Continue standard process,2025-07-30 09:00:00,2025-07-30 09:00:00
7,4,2025-08-02 09:00:00,76.0,78.0,73.0,80.0,85.0,90.0,24.0,76.0,LOW,Healthy deal profile,Continue standard process,2025-08-02 09:00:00,2025-08-02 09:00:00
8,5,2025-08-05 09:00:00,60.0,62.0,57.0,80.0,85.0,90.0,40.0,60.0,HIGH,Discount variance,Review approval state,2025-08-05 09:00:00,2025-08-05 09:00:00
9,6,2025-08-08 09:00:00,86.0,88.0,83.0,80.0,85.0,90.0,14.0,86.0,LOW,Healthy deal profile,Continue standard process,2025-08-08 09:00:00,2025-08-08 09:00:00
10,7,2025-08-11 09:00:00,70.0,72.0,67.0,80.0,85.0,90.0,30.0,70.0,MEDIUM,Discount variance,Review approval state,2025-08-11 09:00:00,2025-08-11 09:00:00
11,8,2025-08-14 09:00:00,60.0,62.0,57.0,80.0,85.0,90.0,40.0,60.0,HIGH,Discount variance,Review approval state,2025-08-14 09:00:00,2025-08-14 09:00:00
12,9,2025-08-17 09:00:00,73.0,75.0,70.0,80.0,85.0,90.0,27.0,73.0,MEDIUM,Discount variance,Review approval state,2025-08-17 09:00:00,2025-08-17 09:00:00
13,10,2025-08-20 09:00:00,80.0,82.0,77.0,80.0,85.0,90.0,20.0,80.0,LOW,Healthy deal profile,Continue standard process,2025-08-20 09:00:00,2025-08-20 09:00:00
14,11,2025-08-23 09:00:00,81.0,83.0,78.0,80.0,85.0,90.0,19.0,81.0,LOW,Healthy deal profile,Continue standard process,2025-08-23 09:00:00,2025-08-23 09:00:00
15,12,2025-08-26 09:00:00,60.0,62.0,57.0,80.0,85.0,90.0,40.0,60.0,HIGH,Discount variance,Review approval state,2025-08-26 09:00:00,2025-08-26 09:00:00
16,13,2025-08-29 09:00:00,85.0,87.0,82.0,80.0,85.0,90.0,15.0,85.0,LOW,Healthy deal profile,Continue standard process,2025-08-29 09:00:00,2025-08-29 09:00:00
17,14,2025-09-01 09:00:00,72.0,74.0,69.0,80.0,85.0,90.0,28.0,72.0,MEDIUM,Discount variance,Review approval state,2025-09-01 09:00:00,2025-09-01 09:00:00
18,15,2025-09-04 09:00:00,95.0,97.0,92.0,80.0,85.0,90.0,5.0,95.0,LOW,Healthy deal profile,Continue standard process,2025-09-04 09:00:00,2025-09-04 09:00:00
19,16,2025-09-07 09:00:00,76.0,78.0,73.0,80.0,85.0,90.0,24.0,76.0,LOW,Healthy deal profile,Continue standard process,2025-09-07 09:00:00,2025-09-07 09:00:00
20,17,2025-09-10 09:00:00,81.0,83.0,78.0,80.0,85.0,90.0,19.0,81.0,LOW,Healthy deal profile,Continue standard process,2025-09-10 09:00:00,2025-09-10 09:00:00
21,18,2025-09-13 09:00:00,83.0,85.0,80.0,80.0,85.0,90.0,17.0,83.0,LOW,Healthy deal profile,Continue standard process,2025-09-13 09:00:00,2025-09-13 09:00:00
22,19,2025-09-16 09:00:00,90.0,92.0,87.0,80.0,85.0,90.0,10.0,90.0,LOW,Healthy deal profile,Continue standard process,2025-09-16 09:00:00,2025-09-16 09:00:00
23,20,2025-09-19 09:00:00,78.0,80.0,75.0,80.0,85.0,90.0,22.0,78.0,LOW,Healthy deal profile,Continue standard process,2025-09-19 09:00:00,2025-09-19 09:00:00
24,21,2025-09-22 09:00:00,86.0,88.0,83.0,80.0,85.0,90.0,14.0,86.0,LOW,Healthy deal profile,Continue standard process,2025-09-22 09:00:00,2025-09-22 09:00:00
25,22,2025-09-25 09:00:00,78.0,80.0,75.0,80.0,85.0,90.0,22.0,78.0,LOW,Healthy deal profile,Continue standard process,2025-09-25 09:00:00,2025-09-25 09:00:00
26,23,2025-09-28 09:00:00,77.0,79.0,74.0,80.0,85.0,90.0,23.0,77.0,LOW,Healthy deal profile,Continue standard process,2025-09-28 09:00:00,2025-09-28 09:00:00
27,24,2025-10-01 09:00:00,80.0,82.0,77.0,80.0,85.0,90.0,20.0,80.0,LOW,Healthy deal profile,Continue standard process,2025-10-01 09:00:00,2025-10-01 09:00:00
28,25,2025-10-04 09:00:00,76.0,78.0,73.0,80.0,85.0,90.0,24.0,76.0,LOW,Healthy deal profile,Continue standard process,2025-10-04 09:00:00,2025-10-04 09:00:00
29,26,2025-10-07 09:00:00,76.0,78.0,73.0,80.0,85.0,90.0,24.0,76.0,LOW,Healthy deal profile,Continue standard process,2025-10-07 09:00:00,2025-10-07 09:00:00
30,27,2025-10-10 09:00:00,72.0,74.0,69.0,80.0,85.0,90.0,28.0,72.0,MEDIUM,Discount variance,Review approval state,2025-10-10 09:00:00,2025-10-10 09:00:00
31,28,2025-10-13 09:00:00,89.0,91.0,86.0,80.0,85.0,90.0,11.0,89.0,LOW,Healthy deal profile,Continue standard process,2025-10-13 09:00:00,2025-10-13 09:00:00
